end_device_experiment_id;end_device_run_id;direction;sending_date;target_speed;end_device_id;sequence_number;algorithm_on;transmission_successful;end_device_gps_mode;end_device_longitude;end_device_epx;end_device_latitude;end_device_epy;end_device_altitude;end_device_epv;end_device_speed;end_device_eps;central_frequency;bandwidth;transmitting_power;spreading_factor;coding_rate;payload;payload_size;gateway_experiment_id;gateway_run_id;gateway_id;gateway_date;gateway_longitude;gateway_latitude;gateway_altitude;modulation;crc_test;rssi;snr_average;snr_minimum;snr_maximum;snr_correction;rf_chain;if_chain;receiving_timestamp;receiving_time;modem_id;rx_max_bin_pos;crc_value
1;1;1;2018-04-20 20:59:49;2;1;11;1;1;3;5.166185000;2.230000000;51.062673333;4.5700;18.4000;4.4280;1.4400;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00017015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-93.000;6.200;4.500;10.500;;0;0;1324875028;;7;818;b927
1;1;1;2018-04-20 20:59:45;2;1;11;0;1;3;5.166126667;2.230000000;51.062710000;4.5700;18.4000;4.4280;1.3530;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00016017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-80.000;6.800;2.800;11.500;;0;0;1323794732;;7;3644;bb37
1;1;1;2018-04-20 21:00:04;2;1;12;1;1;3;5.166386667;2.230000000;51.062531667;4.5700;18.3000;4.4280;1.4100;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00019015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-90.000;7.500;4.800;10.200;;0;0;1339874796;;7;846;b9c7
1;1;1;2018-04-20 21:00:00;2;1;12;0;1;3;5.166336667;2.230000000;51.062566667;4.5700;18.3000;4.4280;1.4100;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00018017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-73.000;8.000;2.200;12.800;;0;0;1338795540;;7;2777;bbd7
1;1;1;2018-04-20 21:00:19;2;1;13;1;1;3;5.166575000;2.230000000;51.062385000;4.5700;18.4000;4.4280;1.3480;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0001b015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-94.000;6.500;4.000;10.200;;0;0;1354875356;;7;971;b9e7
1;1;1;2018-04-20 21:00:15;2;1;13;0;1;3;5.166533333;2.230000000;51.062423333;4.5700;18.5000;4.4280;1.6570;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0001a017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-72.000;7.200;3.000;11.500;;0;0;1353796300;;7;1903;bbf7
1;1;1;2018-04-20 21:00:34;2;1;14;1;1;3;5.166746667;2.230000000;51.062240000;4.5700;18.2000;4.4280;1.3270;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0001d015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-86.000;7.500;4.800;9.800;;0;0;1369882236;;7;864;b987
1;1;1;2018-04-20 21:00:30;2;1;14;0;1;3;5.166706667;2.230000000;51.062280000;4.5700;18.4000;4.4280;1.3480;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0001c017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-71.000;7.800;2.800;11.200;;0;0;1368799460;;7;1330;bb97
1;1;1;2018-04-20 21:00:49;2;1;15;1;1;3;5.166926667;2.230000000;51.062103333;4.5700;18.2000;4.4280;1.3020;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0001f015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-90.000;7.500;4.200;10.200;;0;0;1384877828;;7;368;b9a7
1;1;1;2018-04-20 21:00:45;2;1;15;0;1;3;5.166878333;2.230000000;51.062140000;4.5700;18.2000;4.4280;1.3270;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0001e017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-74.000;7.200;1.200;11.800;;0;0;1383798628;;7;258;bbb7
